"%id","state","state_code","%irwin_state_code"
"1","ALASKA","AK","US-AK"
"2","ALABAMA","AL","US-AL"
"3","ARKANSAS","AR","US-AR"
"4","ARIZONA","AZ","US-AZ"
"5","CALIFORNIA","CA","US-CA"
"6","COLORADO","CO","US-CO"
"7","CONNECTICUT","CT","US-CT"
"8","DISTRICT OF COLUMBIA","DC","US-DC"
"9","DELAWARE","DE","US-DE"
"10","FLORIDA","FL","US-FL"
"11","GEORGIA","GA","US-GA"
"12","HAWAII","HI","US-HI"
"13","IOWA","IA","US-IA"
"14","IDAHO","ID","US-ID"
"15","ILLINOIS","IL","US-IL"
"16","INDIANA","IN","US-IN"
"17","KANSAS","KS","US-KS"
"18","KENTUCKY","KY","US-KY"
"19","LOUISIANA","LA","US-LA"
"20","MASSACHUSETTS","MA","US-MA"
"21","MARYLAND","MD","US-MD"
"22","MAINE","ME","US-ME"
"23","MICHIGAN","MI","US-MI"
"24","MINNESOTA","MN","US-MN"
"25","MISSOURI","MO","US-MO"
"26","MISSISSIPPI","MS","US-MS"
"27","MONTANA","MT","US-MT"
"28","NORTH CAROLINA","NC","US-NC"
"29","NORTH DAKOTA","ND","US-ND"
"30","NEBRASKA","NE","US-NE"
"31","NEW HAMPSHIRE","NH","US-NH"
"32","NEW JERSEY","NJ","US-NJ"
"33","NEW MEXICO","NM","US-NM"
"34","NEVADA","NV","US-NV"
"35","NEW YORK","NY","US-NY"
"36","OHIO","OH","US-OH"
"37","OKLAHOMA","OK","US-OK"
"38","OREGON","OR","US-OR"
"39","PENNSYLVANIA","PA","US-PA"
"40","RHODE ISLAND","RI","US-RI"
"41","SOUTH CAROLINA","SC","US-SC"
"42","SOUTH DAKOTA","SD","US-SD"
"43","TENNESSEE","TN","US-TN"
"44","TEXAS","TX","US-TX"
"45","UTAH","UT","US-UT"
"46","VIRGINIA","VA","US-VA"
"47","VERMONT","VT","US-VT"
"48","WASHINGTON","WA","US-WA"
"49","WISCONSIN","WI","US-WI"
"50","WEST VIRGINIA","WV","US-WV"
"51","WYOMING","WY","US-WY"
